id;nom_filiere;nom_autre;nom_programme;autre_agr;nom_programme_el;autre_el;autre_min;autre_bat;autre_mecan;autre_menu;autre_agro;autre_electro;autre_struc;autre_ec;autre_com;autre_in;autre_san;autre_programme
1;AUTRE;c optimizing calculating;AUTRE;cutting-edge b;AUTRE;back;b;payment Slovénie;navigate Directeur Lepic;Account Account;b Tunisian;program Small;well-modulated calculating Granite;Designer;even-keeled toolset;Sleek;capacitor Wooden;model
2;AUTRE;b;DIETETIQUE_NUTRITION_BTS_APC;c Latvian niches;AVICULTURE;Poitou-Charentes bluetooth Awesome;ROI Molière;Table feed;Intuitive bypassing withdrawal;deposit a;Wooden Rustic;plum Chaussée-d'Antin parsing;c improvement connecting;deposit navigating;backing flexibility a;bandwidth hub;Ergonomic;attitude-oriented payment
3;AGROALIMENTAIRE;Loan a HTTP;AUTRE;cross-platform a;AVICULTURE;homogeneous;utilisation;Caumartin Singapour Nord-Pas-de-Calais;deposit;reboot visionary;generate Synergized;Public-key JBOD;du 1080p a;overriding Stagiaire Health;São;Bûcherie programming Computers;card;engineer Lebanese
4;ELECTROTECHNIQUE_ELECTRONIQUE_ENERGETIQUE;Specialiste Corse;ANALYSE_BIOLOGIQUE;compress architect c;AUTRE;Outdoors transform;neutral;Games;access;mint;generate Credit Developpeur;integrate Keyboard;Balanced Concrete;Berkshire program;structure Rhône-Alpes;Loan Configurable AGP;foreground orange morph;Kids Avon
5;STRUCTUREMETALLIQUE;digital;AGENT_DE_STERILISATION_EN_MILIEU_HOSPITALIER;a Avon;AUTRE;c;deposit navigating connect;Hat online;Malagasy Shoes;Bedfordshire Graphic Generic;circuit generating;connect;salmon Licensed;framework Borders;SCSI Fish Loti;help-desk asymmetric Configurable;Philippine indigo;Kuna Synergized killer
6;MENUISERIE;Assistant Adaptive c;HYGIENE_SECURITE_ENVIRONNEMENT;Bike Koweït Cambridgeshire;AUTRE;Clothing c;du black bluetooth;Awesome Tasty Buckinghamshire;Unbranded Monténégro;Burundi challenge;e-business Account port;Tasty Home front-end;AI;Programmable Vision-oriented synergies;Awesome;multi-byte;Electronics Australie reboot;transitional
7;INFORMATIQUEETNUMERIQUE;Keyboard auxiliary invoice;AGENT_DE_SANTE_COMMUNAUTAIRE;invoice deposit Borders;AUTRE;HDD Bedfordshire multi-byte;calculating Wooden;circuit toolset Hryvnia;Dollar;Enterprise-wide;connect Saint-Honoré Somoni;Developpeur;Bretagne;a Coordinateur heuristic;Bretagne;Metal Haute-Normandie;Monsieur-le-Prince Handcrafted withdrawal;Honduras a compress
8;AGROALIMENTAIRE;Hat deposit;AUTRE;azure synergy Cotton;AUTRE;salmon Outdoors deposit;invoice Re-engineered;Computer hacking;Intuitive pixel;4th transmit payment;Towels Intelligent;compress;next;Ingenieur bypassing;copy;Generic;Vision-oriented Ball;Soft
9;MENUISERIE;c microchip;SANTE_HYGIENE;productivity a;AVICULTURE;Buckinghamshire microchip Savings;Car;Bangladesh;Cambridgeshire e-services Rustic;Account;b Borders;harness;payment modular generation;a AI relationships;Borders tan Champagne-Ardenne;Distributed turn-key Champagne-Ardenne;digital eyeballs quantifying;portal
10;MENUISERIE;action-items Buckinghamshire c;BRANCARDIER;yellow quantifying Concrete;AUTRE;paradigm b programming;lavender deposit Health;parse systems Automotive;withdrawal Buckinghamshire lime;Assistant;PNG;payment toolset Technicien;c payment Electronics;b Account dynamic;b Consultant;success Slovénie;invoice Unbranded Incredible;Frozen Account
