id;prenom_nom;adresse;mail;tel_1;tel_2;boite_postal;decret_creation;date_creation;region;autre_region;departement_dakar;departement_diourbel;departement_fatick;departement_kaffrine;departement_kaolack;departement_kedougou;departement_kolda;departement_louga;departement_matam;departement_saint;departement_sedhiou;departement_tambacounda;departement_this;departement_ziguinchor;autredepartement_dakar;autredepartement_diourbel;autredepartement_fatick;autredepartement_kaffrine;autredepartement_kaolack;autredepartement_kedougou;autredepartement_kolda;autredepartement_louga;autredepartement_matam;autredepartement_saint;autredepartement_sedhiou;autredepartement_tambacounda;autredepartement_this;autredepartement_ziguinchor;commune;ia
1;Fantastic standardization payment;Nauru;Singapore;defect Card;c JSON aggregate;disintermediate c;Cambridgeshire;2022-09-19;ZIGINCHOR;copy;RUFISQUE;AUTRE;AUTRE;MALEM_HODAR;KAOLOACK;SARAYA;AUTRE;KEBEMERE;KANELKANEL;AUTRE;GOUDOMP;AUTRE;MBOUR;ZICHUINCHOR;deliverables calculating;Quality-focused lavender;Fish;hierarchy Shirt port;Loan c;Bedfordshire Savings;XSS;b Chair;Hat c;concept;1080p;Cheese yellow Outdoors;tan;Tuvalu Aquitaine;Executif deliverables;withdrawal concept Licensed
2;Concrete Sleek;killer orange;Loan Car Keyboard;Cambridgeshire;withdrawal;functionalities back yellow;Ingenieur hack;2022-09-19;KEDOUGOU;Mouse hacking;GUEDIAWAYE;MBACKE;FATICK;KOUNGHEUR;KAOLOACK;SALAMATA;MEDINA_YORO_FOULAH;AUTRE;MATAM;AUTRE;AUTRE;GOUDIRY;THIES;AUTRE;mobile Avon;invoice mission-critical;utilize connecting Health;website Soap SQL;payment payment HDD;d'Argenteuil b time-frame;Buckinghamshire Games navigating;red Ball mobile;fault-tolerant;proactive;de Toys interface;Frozen invoice c;Cambridgeshire;programming ADP Dong;quantifying Faubourg;back-end
3;redundant primary Bûcherie;Clothing Papouasie-Nouvelle-Guinée;generating Pizza Account;circuit;a;online;Steel Shoes Directeur;2022-09-18;KOLDA;blue;KEUR_MASSAR;BAMBAEY;FATICK;AUTRE;GUINGUINEO;SALAMATA;MEDINA_YORO_FOULAH;KEBEMERE;MATAM;DAGANA;SEDHIOU;GOUDIRY;THIES;ZICHUINCHOR;invoice Cambridgeshire Industrial;c matrix;Sausages solid Architecte;auxiliary Mouse;Rubber;Poitou-Charentes;Configurable;a Tadjikistan functionalities;redundant;Assistant Fresh;b Investment;Specialiste;arabes;multi-byte Card;Centre Small Oman;invoice
4;vortals Dirham;pink;Fresh Investment Rhône-Alpes;Soft Franche-Comté deposit;withdrawal;transmitter Lepic calculate;Chypre Account;2022-09-18;KAOLACK;1080p SQL;RUFISQUE;AUTRE;FATICK;BIRKILANE;GUINGUINEO;SALAMATA;AUTRE;LINGUERE;MATAM;DAGANA;SEDHIOU;AUTRE;THIES;AUTRE;c Outdoors;generating;indexing mobile;vertical;Account cyan;sexy;Tuna transmitting;program;Bretagne Steel b;deposit;Car eyeballs;parse payment intranet;Home deposit;circuit HTTP;Credit Midi-Pyrénées;Rustic
5;Table Home;Saudi;Loan Health;cross-platform multi-tasking Account;a;Lilangeni THX Account;Suède Cotton;2022-09-19;ZIGINCHOR;pink haptic navigating;RUFISQUE;BAMBAEY;AUTRE;KOUNGHEUR;KAOLOACK;SARAYA;AUTRE;LINGUERE;KANELKANEL;DAGANA;SEDHIOU;BAKEL;THIES;OUSSOUYE;a;Soft;generate;Laffitte;salmon firewall;content;green Haïti Movies;Account b;applications instruction;Hat Guinée;whiteboard;technologies b Synchronised;Investment;Avon;Borders;concept c
6;Triple-buffered b;COM invoice;Wooden Jamaïque;Keyboard;next-generation;global Steel;indexing Limousin Table;2022-09-19;DIOURBEL;Belgique JBOD;KEUR_MASSAR;DIOURBEL;AUTRE;MALEM_HODAR;KAOLOACK;AUTRE;VELINGARA;LINGUERE;KANELKANEL;SAINT_LOUIS;AUTRE;TAMBACOUNDA;AUTRE;AUTRE;c invoice Charlemagne;Intelligent;deposit Tuna Riel;Macédoine Cheese Mille;Incredible orchid;monitor Saint-Vincent-et-les-Grenadines;Fresh;Liban recontextualize;a;Card PNG Incredible;Technicien Chicken Birr;port a;Developpeur b Ball;initiatives;Sleek Ergonomic;end-to-end application parse
7;transform;Shirt multimedia;AI info-mediaries Producteur;bandwidth compressing turn-key;invoice;Chaussée-d'Antin;de Salad;2022-09-19;KAOLACK;Card Credit Account;PIKINE;BAMBAEY;GOSSAS;BIRKILANE;NIORO;SARAYA;VELINGARA;AUTRE;KANELKANEL;DAGANA;AUTRE;BAKEL;THIES;BIGNONA;a EXE Administrateur;Handmade ROI;Sausages;Shilling back-end;invoice indigo matrix;infomediaries;Unbranded green;Bacon Tools;Zimbabwe approach;Maldives Chips Île-de-France;Fish;withdrawal seize;transmit;Vaneau bi-directional Technicien;Champagne-Ardenne;Cotton
8;Account FTP Plastic;bus quantifying;violet Tasty a;silver des;alarm b;rich e-business Frozen;Specialiste;2022-09-18;MATAM;paradigms AI;PIKINE;MBACKE;FOUNDIOUGNE;MALEM_HODAR;KAOLOACK;AUTRE;AUTRE;KEBEMERE;MATAM;PODOR;BOUNKILING;TAMBACOUNDA;AUTRE;AUTRE;systemic;Enhanced;value-added;Soap;impactful Designer Rhône-Alpes;revolutionize;synthesizing;Cross-group;haptic Berkshire;auxiliary a Shoes;scalable;markets;models Tuna;Silver 24/365;Account Enhanced;Enhanced
9;Pierre du Basse-Normandie;asynchronous bandwidth;hybrid;microchip interactive;extend;withdrawal Granite Avon;Bike connect a;2022-09-18;AUTRE;Buckinghamshire testing;PIKINE;BAMBAEY;AUTRE;BIRKILANE;AUTRE;AUTRE;VELINGARA;KEBEMERE;AUTRE;PODOR;GOUDOMP;TAMBACOUNDA;TIVAOUANE;AUTRE;analyzing;auxiliary Gorgeous;a;a HDD plum;Buckinghamshire Bacon;Cheese Industrial invoice;a Incredible Corse;Account;Avon;auxiliary Fantastic AGP;cohesive Unbranded networks;foreground;Tugrik invoice Bac;hacking Clothing;array;HTTP integrated
10;dominicaine Zambie interface;Frozen ability;Plastic;Fish panel facilitate;Stagiaire silver;Ingenieur utilize;eco-centric;2022-09-18;SEDHIOU;c c rich;KEUR_MASSAR;BAMBAEY;AUTRE;KOUNGHEUR;AUTRE;KEDOUGOU;VELINGARA;KEBEMERE;RANEROU_FERLO;SAINT_LOUIS;BOUNKILING;GOUDIRY;AUTRE;OUSSOUYE;Chips;actuating Tools;Du state Soft;driver;d'Azur Mauritanie;Berkshire Fresh e-business;Hat Plastic SDR;Bedfordshire Automotive Saint-Jacques;b Practical Jewelery;Yuan b;c Buckinghamshire Bedfordshire;sensor matrix;Electronics synthesizing Coordinateur;Handmade;budgetary c c;complexity unleash
